Row_1,BoardsBeforeCutBill,BoardsAfterCutBill,BoardsInCutBill,MandatoryCuts,CutsMadebyCutBill,CutsPerBoard,Yield,MeanNestingRate,MaxNestingRate,TimesAbove60,LaneFlushes
"[10.75,24] [28,30] [30,32] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197564,139608,248774,28978,2.77752,0.907607519,0.03942964,0.170601556,0,0
"[10.75,24] [24,26] [28,30] [30,32] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189700,147472,248774,21114,2.69888,0.908709157,0.040748685,0.192996883,0,0
"[10.75,24] [26,28] [28,30] [30,32] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189811,147361,248774,21225,2.69999,0.908693607,0.043278444,0.182342908,0,0
"[10.75,24] [24,26] [26,28] [28,30] [30,32] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,181947,155225,248774,13361,2.62135,0.909795245,0.049398981,0.18641896,0,0
"[10.75,24] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,205389,131783,248774,36803,2.85577,0.906511344,0.036347088,0.160698502,0,0
"[10.75,24] [24,26] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197525,139647,248774,28939,2.77713,0.907612982,0.034939027,0.151606592,0,0
"[10.75,24] [26,28] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197636,139536,248774,29050,2.77824,0.907597433,0.038068147,0.164649859,0,0
"[10.75,24] [24,26] [26,28] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189772,147400,248774,21186,2.6996,0.908699071,0.04029226,0.185182542,0,0
"[10.75,24] [28,30] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197830,139342,248774,29244,2.78018,0.907570256,0.044130124,0.213560232,0,0
"[10.75,24] [24,26] [28,30] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189966,147206,248774,21380,2.70154,0.908671894,0.041557602,0.168919432,0,0
"[10.75,24] [26,28] [28,30] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,190077,147095,248774,21491,2.70265,0.908656344,0.044341549,0.180397555,0,0
"[10.75,24] [24,26] [26,28] [28,30] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,182213,154959,248774,13627,2.62401,0.909757982,0.048449301,0.179959807,0,0
"[10.75,24] [30,32] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197893,139279,248774,29307,2.78081,0.907561431,0.112991351,0.315792651,0,0
"[10.75,24] [24,26] [30,32] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,190029,147143,248774,21443,2.70217,0.908663069,0.051653373,0.207811668,0,0
"[10.75,24] [26,28] [30,32] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,190140,147032,248774,21554,2.70328,0.908647519,0.052048875,0.245776241,0,0
"[10.75,24] [24,26] [26,28] [30,32] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,182276,154896,248774,13690,2.62464,0.909749157,0.049762764,0.230053769,0,0
"[10.75,24] [28,30] [30,32] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,190334,146838,248774,21748,2.70522,0.908620342,0.070852187,0.280159422,0,0
"[10.75,24] [24,26] [28,30] [30,32] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,182470,154702,248774,13884,2.62658,0.90972198,0.057523254,0.226997739,0,0
"[10.75,24] [26,28] [28,30] [30,32] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,182581,154591,248774,13995,2.62769,0.909706431,0.067879841,0.269925282,0,0
"[10.75,24] [24,26] [26,28] [28,30] [30,32] [32,34] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,174717,162455,248774,6131,2.54905,0.910808069,0.069226701,0.290207773,0,0
"[10.75,24] [46,48] [48,60]",223035,246278,90894,248774,77692,3.26466,0.90078336,0.022932986,0.124875243,0,0
"[10.75,24] [24,26] [46,48] [48,60]",223035,238414,98758,248774,69828,3.18602,0.901884997,0.024651564,0.132411206,0,0
"[10.75,24] [26,28] [46,48] [48,60]",223035,238525,98647,248774,69939,3.18713,0.901869448,0.025754222,0.138428784,0,0
"[10.75,24] [24,26] [26,28] [46,48] [48,60]",223035,230661,106511,248774,62075,3.10849,0.902971086,0.031805485,0.160551694,0,0
"[10.75,24] [28,30] [46,48] [48,60]",223035,238719,98453,248774,70133,3.18907,0.901842271,0.024175653,0.115987793,0,0
"[10.75,24] [24,26] [28,30] [46,48] [48,60]",223035,230855,106317,248774,62269,3.11043,0.902943909,0.025835827,0.124912203,0,0
"[10.75,24] [26,28] [28,30] [46,48] [48,60]",223035,230966,106206,248774,62380,3.11154,0.90292836,0.025685583,0.121582064,0,0
"[10.75,24] [24,26] [26,28] [28,30] [46,48] [48,60]",223035,223102,114070,248774,54516,3.0329,0.904029997,0.028054813,0.153789778,0,0
"[10.75,24] [30,32] [46,48] [48,60]",223035,238782,98390,248774,70196,3.1897,0.901833446,0.025678739,0.117860856,0,0
"[10.75,24] [24,26] [30,32] [46,48] [48,60]",223035,230918,106254,248774,62332,3.11106,0.902935084,0.026585274,0.116331394,0,0
"[10.75,24] [26,28] [30,32] [46,48] [48,60]",223035,231029,106143,248774,62443,3.11217,0.902919534,0.025969346,0.123774356,0,0
"[10.75,24] [24,26] [26,28] [30,32] [46,48] [48,60]",223035,223165,114007,248774,54579,3.03353,0.904021172,0.028040971,0.133566062,0,0
"[10.75,24] [28,30] [30,32] [46,48] [48,60]",223035,231223,105949,248774,62637,3.11411,0.902892357,0.026472612,0.133220702,0,0
"[10.75,24] [24,26] [28,30] [30,32] [46,48] [48,60]",223035,223359,113813,248774,54773,3.03547,0.903993995,0.027725613,0.150103165,0,0
"[10.75,24] [26,28] [28,30] [30,32] [46,48] [48,60]",223035,223470,113702,248774,54884,3.03658,0.903978446,0.027755983,0.128582048,0,0
"[10.75,24] [24,26] [26,28] [28,30] [30,32] [46,48] [48,60]",223035,215606,121566,248774,47020,2.95794,0.905080084,0.030062959,0.159979472,0,0
"[10.75,24] [32,34] [46,48] [48,60]",223035,239048,98124,248774,70462,3.19236,0.901796183,0.023836147,0.120181074,0,0
"[10.75,24] [24,26] [32,34] [46,48] [48,60]",223035,231184,105988,248774,62598,3.11372,0.902897821,0.025111444,0.135412701,0,0
"[10.75,24] [26,28] [32,34] [46,48] [48,60]",223035,231295,105877,248774,62709,3.11483,0.902882271,0.025561745,0.127937779,0,0
"[10.75,24] [24,26] [26,28] [32,34] [46,48] [48,60]",223035,223431,113741,248774,54845,3.03619,0.903983909,0.028567712,0.137545288,0,0
"[10.75,24] [28,30] [32,34] [46,48] [48,60]",223035,231489,105683,248774,62903,3.11677,0.902855094,0.026465257,0.135828333,0,0
"[10.75,24] [24,26] [28,30] [32,34] [46,48] [48,60]",223035,223625,113547,248774,55039,3.03813,0.903956732,0.02748725,0.138063353,0,0
"[10.75,24] [26,28] [28,30] [32,34] [46,48] [48,60]",223035,223736,113436,248774,55150,3.03924,0.903941183,0.027514606,0.12055696,0,0
"[10.75,24] [24,26] [26,28] [28,30] [32,34] [46,48] [48,60]",223035,215872,121300,248774,47286,2.9606,0.905042821,0.029123607,0.153945811,0,0
"[10.75,24] [30,32] [32,34] [46,48] [48,60]",223035,231552,105620,248774,62966,3.1174,0.902846269,0.027353979,0.140233912,0,0
"[10.75,24] [24,26] [30,32] [32,34] [46,48] [48,60]",223035,223688,113484,248774,55102,3.03876,0.903947907,0.027943712,0.139531764,0,0
"[10.75,24] [26,28] [30,32] [32,34] [46,48] [48,60]",223035,223799,113373,248774,55213,3.03987,0.903932357,0.027205379,0.12833638,0,0
"[10.75,24] [24,26] [26,28] [30,32] [32,34] [46,48] [48,60]",223035,215935,121237,248774,47349,2.96123,0.905033995,0.02846443,0.142300376,0,0
"[10.75,24] [28,30] [30,32] [32,34] [46,48] [48,60]",223035,223993,113179,248774,55407,3.04181,0.903905181,0.02822954,0.13099056,0,0
"[10.75,24] [24,26] [28,30] [30,32] [32,34] [46,48] [48,60]",223035,216129,121043,248774,47543,2.96317,0.905006819,0.029096219,0.142815916,0,0
"[10.75,24] [26,28] [28,30] [30,32] [32,34] [46,48] [48,60]",223035,216240,120932,248774,47654,2.96428,0.904991269,0.029044556,0.13619855,0,0
"[10.75,24] [24,26] [26,28] [28,30] [30,32] [32,34] [46,48] [48,60]",223035,208376,128796,248774,39790,2.88564,0.906092907,0.030626244,0.160751389,0,0
"[10.75,24] [34,36] [46,48] [48,60]",223035,239329,97843,248774,70743,3.19517,0.901756819,0.023264268,0.116781436,0,0
"[10.75,24] [24,26] [34,36] [46,48] [48,60]",223035,231465,105707,248774,62879,3.11653,0.902858456,0.024920704,0.158101163,0,0
"[10.75,24] [26,28] [34,36] [46,48] [48,60]",223035,231576,105596,248774,62990,3.11764,0.902842907,0.027456416,0.1219411,0,0
"[10.75,24] [24,26] [26,28] [34,36] [46,48] [48,60]",223035,223712,113460,248774,55126,3.039,0.903944545,0.03202846,0.176396444,0,0
"[10.75,24] [28,30] [34,36] [46,48] [48,60]",223035,231770,105402,248774,63184,3.11958,0.90281573,0.025517595,0.154230193,0,0
"[10.75,24] [24,26] [28,30] [34,36] [46,48] [48,60]",223035,223906,113266,248774,55320,3.04094,0.903917368,0.027150998,0.158149355,0,0
"[10.75,24] [26,28] [28,30] [34,36] [46,48] [48,60]",223035,224017,113155,248774,55431,3.04205,0.903901819,0.026809073,0.123576682,0,0
"[10.75,24] [24,26] [26,28] [28,30] [34,36] [46,48] [48,60]",223035,216153,121019,248774,47567,2.96341,0.905003456,0.02918797,0.153498449,0,0
"[10.75,24] [30,32] [34,36] [46,48] [48,60]",223035,231833,105339,248774,63247,3.12021,0.902806905,0.027507812,0.126369012,0,0
"[10.75,24] [24,26] [30,32] [34,36] [46,48] [48,60]",223035,223969,113203,248774,55383,3.04157,0.903908543,0.02843393,0.157761632,0,0
"[10.75,24] [26,28] [30,32] [34,36] [46,48] [48,60]",223035,224080,113092,248774,55494,3.04268,0.903892993,0.027674973,0.1241079,0,0
"[10.75,24] [24,26] [26,28] [30,32] [34,36] [46,48] [48,60]",223035,216216,120956,248774,47630,2.96404,0.904994631,0.029168627,0.127561323,0,0
"[10.75,24] [28,30] [30,32] [34,36] [46,48] [48,60]",223035,224274,112898,248774,55688,3.04462,0.903865816,0.028149687,0.150647751,0,0
"[10.75,24] [24,26] [28,30] [30,32] [34,36] [46,48] [48,60]",223035,216410,120762,248774,47824,2.96598,0.904967454,0.029529183,0.159139124,0,0
"[10.75,24] [26,28] [28,30] [30,32] [34,36] [46,48] [48,60]",223035,216521,120651,248774,47935,2.96709,0.904951905,0.029086093,0.121967011,0,0
"[10.75,24] [24,26] [26,28] [28,30] [30,32] [34,36] [46,48] [48,60]",223035,208657,128515,248774,40071,2.88845,0.906053543,0.031144578,0.167677516,0,0
"[10.75,24] [32,34] [34,36] [46,48] [48,60]",223035,232099,105073,248774,63513,3.12287,0.902769642,0.025544049,0.140606824,0,0
"[10.75,24] [24,26] [32,34] [34,36] [46,48] [48,60]",223035,224235,112937,248774,55649,3.04423,0.90387128,0.027034585,0.161514597,0,0
"[10.75,24] [26,28] [32,34] [34,36] [46,48] [48,60]",223035,224346,112826,248774,55760,3.04534,0.90385573,0.0272054,0.150792283,0,0
"[10.75,24] [48,60]",223035,252409,84763,248774,83823,3.32597,0.899924491,0.022689618,0.11648125,0,0
"[10.75,24] [24,26] [48,60]",223035,244545,92627,248774,75959,3.24733,0.901026129,0.025387725,0.13853483,0,0
"[10.75,24] [26,28] [48,60]",223035,244656,92516,248774,76070,3.24844,0.901010579,0.026215961,0.153514215,0,0
"[10.75,24] [24,26] [26,28] [48,60]",223035,236792,100380,248774,68206,3.1698,0.902112217,0.033103985,0.190254371,0,0
"[10.75,24] [28,30] [48,60]",223035,244850,92322,248774,76264,3.25038,0.900983403,0.023340836,0.113595774,0,0
"[10.75,24] [24,26] [28,30] [48,60]",223035,236986,100186,248774,68400,3.17174,0.902085041,0.024946429,0.134354537,0,0
"[10.75,24] [26,28] [28,30] [48,60]",223035,237097,100075,248774,68511,3.17285,0.902069491,0.024249619,0.101948267,0,0
"[10.75,24] [24,26] [26,28] [28,30] [48,60]",223035,229233,107939,248774,60647,3.09421,0.903171129,0.026518971,0.141931396,0,0
"[10.75,24] [30,32] [48,60]",223035,244913,92259,248774,76327,3.25101,0.900974577,0.025193894,0.135082675,0,0
"[10.75,24] [24,26] [30,32] [48,60]",223035,237049,100123,248774,68463,3.17237,0.902076215,0.025970224,0.117504337,0,0
"[10.75,24] [26,28] [30,32] [48,60]",223035,237160,100012,248774,68574,3.17348,0.902060666,0.025461083,0.109203353,0,0
"[10.75,24] [24,26] [26,28] [30,32] [48,60]",223035,229296,107876,248774,60710,3.09484,0.903162303,0.026745212,0.116473733,0,0
"[10.75,24] [28,30] [30,32] [48,60]",223035,237354,99818,248774,68768,3.17542,0.902033489,0.0263821,0.126585622,0,0
